,PlayerName,Season,Position,Age,Team,OffensiveRating,DefensiveRating,RatingSum,scaledRatingSum
0,Kevin Garnett*,2005,PF,28,MIN,95,95,179,94
1,LeBron James,2005,SF,20,CLE,96,89,176,92
2,Dirk Nowitzki,2005,PF,26,DAL,94,90,175,92
3,Tracy McGrady*,2005,SF,25,HOU,93,89,173,91
4,Tim Duncan*,2005,PF,28,SAS,90,93,173,91
5,Allen Iverson*,2005,PG,29,PHI,94,84,171,89
6,Amar'e Stoudemire,2005,C,22,PHO,94,83,170,89
7,Andrei Kirilenko,2005,PF,23,UTA,88,91,170,89
8,Shawn Marion,2005,PF,26,PHO,88,91,170,89
9,Dwyane Wade,2005,SG,23,MIA,91,85,169,88
10,Manu Ginóbili*,2005,SG,27,SAS,88,89,168,88
11,Vince Carter,2005,SF-SG,28,NJN,91,84,168,88
12,Larry Hughes,2005,SG,26,WAS,88,89,168,88
13,Gilbert Arenas,2005,PG,23,WAS,93,80,167,87
14,Paul Pierce*,2005,SF,27,BOS,90,84,167,87
15,Ben Wallace*,2005,C,30,DET,80,97,167,87
16,Jason Kidd*,2005,PG,31,NJN,86,88,166,86
17,Elton Brand,2005,PF,25,LAC,89,84,166,86
18,Marcus Camby,2005,C,30,DEN,80,94,165,86
19,Kobe Bryant*,2005,SG,26,LAL,93,78,165,86
20,Stephon Marbury,2005,PG,27,NYK,93,76,164,85
21,Chauncey Billups,2005,PG,28,DET,89,81,164,85
22,Pau Gasol,2005,PF,24,MEM,86,84,164,85
23,Ray Allen*,2005,SG,29,SEA,93,75,164,85
24,Brad Miller,2005,C,28,SAC,85,84,163,85
25,Corey Maggette,2005,SG,25,LAC,89,79,163,85
26,Tony Parker,2005,PG,22,SAS,85,84,163,85
27,Kirk Hinrich,2005,PG,24,CHI,84,86,163,85
28,Mike Bibby,2005,PG,26,SAC,89,79,163,85
29,Jermaine O'Neal,2005,PF,26,IND,86,83,163,85
30,Tyson Chandler,2005,C,22,CHI,79,91,162,84
31,Baron Davis,2005,PG,25,GSW,88,80,162,84
32,Steve Francis,2005,PG,27,ORL,88,79,162,84
33,Steve Nash*,2005,PG,30,PHO,91,75,162,84
34,Jason Richardson,2005,SG,24,GSW,88,80,162,84
35,Rasheed Wallace,2005,PF,30,DET,81,88,162,84
