,PlayerName,Season,Position,Age,Team,OffensiveRating,DefensiveRating,RatingSum,scaledRatingSum
0,LeBron James,2009,SF,24,CLE,96,94,180,95
1,Chris Paul,2009,PG,23,NOH,94,94,178,94
2,Dwyane Wade,2009,SG,27,MIA,95,90,176,92
3,Dwight Howard,2009,C,23,ORL,86,97,171,89
4,Kobe Bryant*,2009,SG,30,LAL,91,84,168,88
5,Tim Duncan*,2009,C,32,SAS,86,89,166,86
6,Brandon Roy,2009,SG,24,POR,91,80,165,86
7,Gerald Wallace,2009,SF,26,CHA,83,90,164,85
8,Dirk Nowitzki,2009,PF,30,DAL,88,83,164,85
9,Pau Gasol,2009,C,28,LAL,87,84,164,85
10,Kevin Garnett*,2009,PF,32,BOS,83,90,164,85
11,Yao Ming*,2009,C,28,HOU,85,88,164,85
12,Paul Pierce*,2009,SF,31,BOS,85,85,163,85
13,Rajon Rondo,2009,PG,22,BOS,83,89,163,85
14,Andre Iguodala,2009,SF,25,PHI,85,84,162,84
15,Tony Parker,2009,PG,26,SAS,87,80,162,84
16,Chris Bosh*,2009,C,24,TOR,86,83,162,84
17,Kevin Durant,2009,SF,20,OKC,87,81,162,84
18,Danny Granger,2009,SF,25,IND,87,81,162,84
19,Jason Kidd*,2009,PG,35,DAL,81,88,161,83
20,Manu Ginóbili*,2009,SG,31,SAS,84,85,161,83
21,Devin Harris,2009,PG,25,NJN,87,79,161,83
22,Rashard Lewis,2009,PF,29,ORL,83,85,160,83
23,Deron Williams,2009,PG,24,UTA,87,78,160,83
24,Nenê,2009,C,26,DEN,81,86,160,83
25,Chauncey Billups,2009,PG,32,DEN,86,79,160,83
26,Vince Carter,2009,SG,32,NJN,86,79,160,83
27,Jameer Nelson,2009,PG,26,ORL,84,83,160,83
28,Al Jefferson,2009,C,24,MIN,85,81,160,83
29,Ray Allen*,2009,SG,33,BOS,85,81,160,83
30,Shaquille O'Neal*,2009,C,36,PHO,84,81,159,82
31,Metta World Peace,2009,SF,29,HOU,81,85,159,82
